Year,Series,Units,Age,Sex,Value
2003,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,FEMALE,7.1
2004,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,FEMALE,7.0
2005,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,FEMALE,6.8
2006,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,FEMALE,6.6
2007,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,FEMALE,6.4
2008,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,FEMALE,6.1
2009,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,FEMALE,5.9
2010,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,FEMALE,5.6
2011,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,FEMALE,5.4
2012,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,FEMALE,5.2
2013,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,FEMALE,5.0
2014,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,FEMALE,4.9
2015,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,FEMALE,4.8
2016,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,FEMALE,4.7
2017,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,FEMALE,4.6
2018,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,FEMALE,4.5
2000,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,MALE,9.6
2001,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,MALE,9.2
2002,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,MALE,9.0
2003,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,MALE,8.9
2004,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,MALE,8.7
2005,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,MALE,8.5
2006,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,MALE,8.3
2007,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,MALE,7.9
2008,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,MALE,7.6
2009,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,MALE,7.2
2010,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,MALE,6.8
2011,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,MALE,6.6
2012,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,MALE,6.3
2013,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,MALE,6.1
2014,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,MALE,5.9
2015,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,MALE,5.8
2016,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,MALE,5.7
2017,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,MALE,5.6
2018,SH_DYN_IMRT,PER 1000 LIVE BIRTHS,<1Y,MALE,5.5
2000,SH_DYN_MORTN,NUMBER,<5Y,BOTHSEX,422
2001,SH_DYN_MORTN,NUMBER,<5Y,BOTHSEX,387
2002,SH_DYN_MORTN,NUMBER,<5Y,BOTHSEX,360
2003,SH_DYN_MORTN,NUMBER,<5Y,BOTHSEX,340
2004,SH_DYN_MORTN,NUMBER,<5Y,BOTHSEX,324
2005,SH_DYN_MORTN,NUMBER,<5Y,BOTHSEX,311
2006,SH_DYN_MORTN,NUMBER,<5Y,BOTHSEX,299
2007,SH_DYN_MORTN,NUMBER,<5Y,BOTHSEX,286
2008,SH_DYN_MORTN,NUMBER,<5Y,BOTHSEX,273
2009,SH_DYN_MORTN,NUMBER,<5Y,BOTHSEX,259
2010,SH_DYN_MORTN,NUMBER,<5Y,BOTHSEX,245
2011,SH_DYN_MORTN,NUMBER,<5Y,BOTHSEX,232
2012,SH_DYN_MORTN,NUMBER,<5Y,BOTHSEX,219
2013,SH_DYN_MORTN,NUMBER,<5Y,BOTHSEX,208
2014,SH_DYN_MORTN,NUMBER,<5Y,BOTHSEX,198
2015,SH_DYN_MORTN,NUMBER,<5Y,BOTHSEX,188
2016,SH_DYN_MORTN,NUMBER,<5Y,BOTHSEX,179
2017,SH_DYN_MORTN,NUMBER,<5Y,BOTHSEX,171
2018,SH_DYN_MORTN,NUMBER,<5Y,BOTHSEX,162
2000,SH_DYN_MORTN,NUMBER,<5Y,FEMALE,181
2001,SH_DYN_MORTN,NUMBER,<5Y,FEMALE,166
2002,SH_DYN_MORTN,NUMBER,<5Y,FEMALE,154
2003,SH_DYN_MORTN,NUMBER,<5Y,FEMALE,146
2004,SH_DYN_MORTN,NUMBER,<5Y,FEMALE,139
2005,SH_DYN_MORTN,NUMBER,<5Y,FEMALE,133
2006,SH_DYN_MORTN,NUMBER,<5Y,FEMALE,128
2007,SH_DYN_MORTN,NUMBER,<5Y,FEMALE,123
2008,SH_DYN_MORTN,NUMBER,<5Y,FEMALE,118
2009,SH_DYN_MORTN,NUMBER,<5Y,FEMALE,112
2010,SH_DYN_MORTN,NUMBER,<5Y,FEMALE,106
2011,SH_DYN_MORTN,NUMBER,<5Y,FEMALE,101
2012,SH_DYN_MORTN,NUMBER,<5Y,FEMALE,95
2013,SH_DYN_MORTN,NUMBER,<5Y,FEMALE,90
2014,SH_DYN_MORTN,NUMBER,<5Y,FEMALE,86
2015,SH_DYN_MORTN,NUMBER,<5Y,FEMALE,82
2016,SH_DYN_MORTN,NUMBER,<5Y,FEMALE,78
2017,SH_DYN_MORTN,NUMBER,<5Y,FEMALE,74
2018,SH_DYN_MORTN,NUMBER,<5Y,FEMALE,71
2000,SH_DYN_MORTN,NUMBER,<5Y,MALE,241
2001,SH_DYN_MORTN,NUMBER,<5Y,MALE,221
2002,SH_DYN_MORTN,NUMBER,<5Y,MALE,206
2003,SH_DYN_MORTN,NUMBER,<5Y,MALE,194
2004,SH_DYN_MORTN,NUMBER,<5Y,MALE,185
2005,SH_DYN_MORTN,NUMBER,<5Y,MALE,178
2006,SH_DYN_MORTN,NUMBER,<5Y,MALE,171
2007,SH_DYN_MORTN,NUMBER,<5Y,MALE,163
2008,SH_DYN_MORTN,NUMBER,<5Y,MALE,155
2009,SH_DYN_MORTN,NUMBER,<5Y,MALE,147
2010,SH_DYN_MORTN,NUMBER,<5Y,MALE,139
2011,SH_DYN_MORTN,NUMBER,<5Y,MALE,131
2012,SH_DYN_MORTN,NUMBER,<5Y,MALE,124
2013,SH_DYN_MORTN,NUMBER,<5Y,MALE,118
2014,SH_DYN_MORTN,NUMBER,<5Y,MALE,112
2015,SH_DYN_MORTN,NUMBER,<5Y,MALE,106
2016,SH_DYN_MORTN,NUMBER,<5Y,MALE,101
2017,SH_DYN_MORTN,NUMBER,<5Y,MALE,97
2018,SH_DYN_MORTN,NUMBER,<5Y,MALE,91
2000,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,BOTHSEX,9.8
2001,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,BOTHSEX,9.5
2002,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,BOTHSEX,9.3
2003,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,BOTHSEX,9.1
2004,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,BOTHSEX,9.0
2005,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,BOTHSEX,8.8
2006,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,BOTHSEX,8.6
2007,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,BOTHSEX,8.3
2008,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,BOTHSEX,7.9
2009,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,BOTHSEX,7.5
2010,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,BOTHSEX,7.2
2011,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,BOTHSEX,6.9
2012,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,BOTHSEX,6.6
2013,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,BOTHSEX,6.4
2014,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,BOTHSEX,6.3
2015,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,BOTHSEX,6.1
2016,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,BOTHSEX,6.0
2017,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,BOTHSEX,5.9
2018,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,BOTHSEX,5.8
2000,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,FEMALE,8.7
2001,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,FEMALE,8.4
2002,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,FEMALE,8.2
2003,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,FEMALE,8.1
2004,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,FEMALE,8.0
2005,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,FEMALE,7.8
2006,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,FEMALE,7.6
2007,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,FEMALE,7.3
2008,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,FEMALE,7.0
2009,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,FEMALE,6.7
2010,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,FEMALE,6.4
2011,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,FEMALE,6.1
2012,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,FEMALE,5.9
2013,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,FEMALE,5.7
2014,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,FEMALE,5.6
2015,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,FEMALE,5.5
2016,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,FEMALE,5.4
2017,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,FEMALE,5.3
2018,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,FEMALE,5.2
2000,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,MALE,10.9
2001,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,MALE,10.6
2002,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,MALE,10.3
2003,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,MALE,10.1
2004,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,MALE,10.0
2005,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,MALE,9.8
2006,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,MALE,9.5
2007,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,MALE,9.1
2008,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,MALE,8.7
2009,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,MALE,8.3
2010,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,MALE,7.9
2011,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,MALE,7.6
2012,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,MALE,7.3
2013,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,MALE,7.1
2014,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,MALE,6.9
2015,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,MALE,6.7
2016,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,MALE,6.6
2017,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,MALE,6.5
2018,SH_DYN_MORT,PER 1000 LIVE BIRTHS,<5Y,MALE,6.4
